Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
06/28/2019,3004117486,"Hubei Gedian Humanwell Pharmaceutical Co., Ltd.",483,01/10/2025,https://www.fda.gov/media/184987/download,281501
06/26/2024,3010453141,Mylan Laboratories Limited,483,01/03/2025,https://www.fda.gov/media/184861/download,281502
06/01/2018,3003370212,Biotika a.s.,483,12/19/2024,https://www.fda.gov/media/184607/download,281503
09/27/2024,3011967886,"RC Outsourcing, LLC",483,12/12/2024,https://www.fda.gov/media/184381/download,281504
10/10/2024,3022483154,TAILSTORM HEALTH INC,483,12/10/2024,https://www.fda.gov/media/184179/download,281505
10/10/2023,3006210232,Fresenius Kabi Oncology Limited,483,12/05/2024,https://www.fda.gov/media/184171/download,281506
05/26/2023,3003065803,Patheon Italia S.p.A.,483,11/27/2024,https://www.fda.gov/media/183884/download,281507
05/05/2023,3006767695,Apicore Pharmaceuticals Private Ltd,483,11/26/2024,https://www.fda.gov/media/183861/download,281508
03/14/2023,3011684330,Regeneron Ireland Designated Activity Company,483,11/22/2024,https://www.fda.gov/media/183808/download,281509
10/25/2024,3014549846,OSRX Inc.,483,11/21/2024,https://www.fda.gov/media/183626/download,281510
10/27/2023,3002809620,Astellas Pharma Inc.,483,11/15/2024,https://www.fda.gov/media/183579/download,281512
11/06/2023,3004664162,Takeda Pharmaceutical Company Limited,483,11/15/2024,https://www.fda.gov/media/183580/download,281511
07/02/2024,3010680515,US Specialty Formulations LLC,483,11/12/2024,https://www.fda.gov/media/183426/download,281513
03/01/2024,3014483112,IntegraDose Compounding Services LLC,483,11/12/2024,https://www.fda.gov/media/183428/download,281514
10/04/2024,3010810839,Avenue Pharmacy Inc dba Pathway Pharmacy,483,11/06/2024,https://www.fda.gov/media/183393/download,281515
09/18/2024,3017473850,Staska Pharmaceuticals Inc,483,11/05/2024,https://www.fda.gov/media/183268/download,281516
09/20/2024,3006418686,Aarti Drugs Limited,483,11/01/2024,https://www.fda.gov/media/183269/download,281517
09/25/2024,3011158388,Nephron Sterile Compounding Center LLC,483,10/31/2024,https://www.fda.gov/media/183238/download,281519
09/06/2024,3024611767,Mark Cuban Cost Plus,483,10/31/2024,https://www.fda.gov/media/183227/download,281518
02/28/2023,3001623073,Jubilant HollisterStier General Partnership,483,10/29/2024,https://www.fda.gov/media/183187/download,281520
03/25/2024,3002807751,Novo Nordisk A/S,483,10/29/2024,https://www.fda.gov/media/183181/download,281521
08/28/2024,3011887629,Empower Pharmacy,483,10/11/2024,https://www.fda.gov/media/182593/download,281522
10/20/2023,3010683345,"Aqualex Co., Ltd.",483,10/08/2024,https://www.fda.gov/media/182556/download,281524
11/21/2023,3023765884,"Nanchang Anobri Pharmaceutical Co., Ltd.",483,10/08/2024,https://www.fda.gov/media/182557/download,281523
09/27/2024,3004086884,Apitoria Pharma Private Limited,483,10/07/2024,https://www.fda.gov/media/182545/download,281526
09/27/2024,3011248248,Biocon Sdn Bhd,483,10/07/2024,https://www.fda.gov/media/182539/download,281525
03/19/2024,3011286349,"Qualgen, LLC",483,10/07/2024,https://www.fda.gov/media/182460/download,281527
07/03/2024,3011976853,BSO LLC,483,10/02/2024,https://www.fda.gov/media/182398/download,281529
09/06/2024,3020928491,"Annovex Pharma, Inc",483,10/02/2024,https://www.fda.gov/media/182397/download,281528
06/28/2024,3012104093,Fagron Compounding Services,483,09/26/2024,https://www.fda.gov/media/182250/download,281531
08/02/2024,3022250654,ProRx LLC,483,09/26/2024,https://www.fda.gov/media/182243/download,281530
09/15/2023,3010031951,"Samsung Bioepis Co., Ltd.",483,09/25/2024,https://www.fda.gov/media/182190/download,281532
03/30/2023,3013611763,TERUMO YAMAGUCHI CORPORATION,483,09/25/2024,https://www.fda.gov/media/182191/download,281533
11/24/2019,3004664162,Takeda Pharmaceutical Company Limited,483,09/24/2024,https://www.fda.gov/media/182152/download,281534
10/27/2023,3004967045,Eisai Company Ltd.,483,09/24/2024,https://www.fda.gov/media/182148/download,281535
10/27/2023,3010970108,"FirstCham Co., Ltd.",483,09/23/2024,https://www.fda.gov/media/182102/download,281536
03/10/2023,3012163998,Hugel Inc.,483,09/23/2024,https://www.fda.gov/media/182103/download,281537
11/10/2023,3012668529,"C&T Dream Co., Ltd.",483,09/20/2024,https://www.fda.gov/media/182057/download,281538
08/02/2024,3008790859,Mixlab TX LLC,483,09/19/2024,https://www.fda.gov/media/181933/download,281539
08/16/2024,1000526113,Belcher Pharmaceuticals LLC,483,09/17/2024,https://www.fda.gov/media/181910/download,281543
09/06/2024,3004097901,Granules India Limited,483,09/17/2024,https://www.fda.gov/media/181914/download,281542
08/02/2024,3009864167,Gland Pharma Limited,483,09/17/2024,https://www.fda.gov/media/181913/download,281541
06/27/2022,3010705046,Laboratorios Farmaceuticos Rovi S. A.,483,09/17/2024,https://www.fda.gov/media/181911/download,281540
09/08/2024,1972829,Park Avenue Compounding,483,09/16/2024,https://www.fda.gov/media/181823/download,281544
04/12/2024,3003282619,"Taenaka Kogyo Co., Ltd.",483,09/06/2024,https://www.fda.gov/media/181559/download,281545
07/26/2024,3003981475,Biocon Biologics Limited,483,09/06/2024,https://www.fda.gov/media/181554/download,281546
03/22/2024,3002807834,"Second Tokushima Factory, Otsuka Pharmaceutical Co., Ltd.",483,08/30/2024,https://www.fda.gov/media/181425/download,281547
08/02/2024,3004094136,Global Calcium Pvt. Limited,483,08/28/2024,https://www.fda.gov/media/181387/download,281548
07/31/2024,3021769057,"iRhythm Technologies, Inc.",483,08/23/2024,https://www.fda.gov/media/181269/download,281549
07/31/2024,3007208829,iRhythm Technologies Inc,483,08/16/2024,https://www.fda.gov/media/180888/download,281550
07/26/2024,3010166491,"Nubratori, Inc",483,08/08/2024,https://www.fda.gov/media/180707/download,281552
05/23/2024,3012384835,SKNV,483,08/08/2024,https://www.fda.gov/media/180708/download,281551
05/29/2024,3009724085,Olympia Pharmaceuticals,483,08/06/2024,https://www.fda.gov/media/180579/download,281553
04/03/2024,3013024146,"Imprimis NJOF, LLC",483,08/06/2024,https://www.fda.gov/media/180618/download,281554
05/02/2024,1924965,Nestle Purina Pet Care Co.,483,07/31/2024,https://www.fda.gov/media/180461/download,281555
06/21/2024,3010589333,Right Value Drug Stores LLC,483,07/26/2024,https://www.fda.gov/media/180071/download,281556
02/13/2024,3012124170,Ranier's Compounding Laboratory,483,07/26/2024,https://www.fda.gov/media/180074/download,281557
06/25/2024,3022897129,Hikma Injectables USA Inc,483,07/26/2024,https://www.fda.gov/media/180065/download,281558
01/19/2024,3014129013,Brassica Pharma Private Ltd,483,07/25/2024,https://www.fda.gov/media/180327/download,281559
06/14/2024,3022125340,Biocon Biosphere Limited,483,07/16/2024,https://www.fda.gov/media/180112/download,281560
03/28/2023,3002930340,Lonza AG,483,07/15/2024,https://www.fda.gov/media/180072/download,281562
08/24/2021,3010479596,"Samsung Biologics Co., Ltd.",483,07/15/2024,https://www.fda.gov/media/182192/download,281561
06/09/2022,3010479596,"Samsung Biologics Co., Ltd.",483,07/15/2024,https://www.fda.gov/media/180086/download,281563
04/05/2024,3013438582,"Denver Solutions, LLC DBA Leiters Health",483,07/12/2024,https://www.fda.gov/media/180028/download,281564
07/25/2017,3010479596,"Samsung Biologics Co., Ltd.",483,07/11/2024,https://www.fda.gov/media/180024/download,281565
06/12/2024,2220525,Hikma Pharmaceuticals USA Inc.,483,07/09/2024,https://www.fda.gov/media/179799/download,281566
05/10/2024,3011430551,"Brookfield Medical/Surgical Supplies, Inc.",483,06/28/2024,https://www.fda.gov/media/179540/download,281567
06/21/2024,3004081307,Cipla Limited,483,06/26/2024,https://www.fda.gov/media/179606/download,281568
06/12/2024,3005029956,Torrent Pharmaceuticals Limited,483,06/26/2024,https://www.fda.gov/media/179610/download,281569
06/07/2024,3002949085,Dr. Reddy's Laboratories Limited CTO VI,483,06/20/2024,https://www.fda.gov/media/179455/download,281570
04/02/2024,3006942691,Chugai Pharma Manufacturing Co. Ltd.,483,06/14/2024,https://www.fda.gov/media/179391/download,281571
03/13/2024,3009339218,Jubilant DraxImage Radiopharmacies Inc. dba Jubilant Radiopharma,483,06/13/2024,https://www.fda.gov/media/178630/download,281572
05/08/2024,3002806702,"Cipla, Ltd.",483,06/07/2024,https://www.fda.gov/media/179231/download,281573
01/16/2024,3007373503,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. (Huanghe Road Site)",483,06/04/2024,https://www.fda.gov/media/179134/download,281574
04/12/2024,3004034796,"Delta Pharma, Inc.",483,05/21/2024,https://www.fda.gov/media/178599/download,281575
05/03/2024,3009883410,EUGIA Pharma Specialities Limited,483,05/13/2024,https://www.fda.gov/media/178585/download,281576
04/23/2024,3013712903,Zydus Lifesciences Limited,483,04/29/2024,https://www.fda.gov/media/178169/download,281577
12/15/2023,3004561553,Sun Pharmaceutical Industries Limited,483,04/17/2024,https://www.fda.gov/media/177871/download,281578
04/05/2024,3027357163,Eugia Steriles Private Limited,483,04/16/2024,https://www.fda.gov/media/177845/download,281579
03/27/2024,3007621329,Zydus Lifesciences Limited,483,04/12/2024,https://www.fda.gov/media/177746/download,281580
04/04/2024,3002806710,Cipla Limited,483,04/10/2024,https://www.fda.gov/media/177653/download,281581
03/27/2024,3006370533,Alkem Laboratories Limited,483,04/09/2024,https://www.fda.gov/media/177580/download,281582
02/02/2024,3006895982,Jubilant Generics Limited,483,04/05/2024,https://www.fda.gov/media/177529/download,281583
11/03/2023,3001581899,Contract Pharmaceuticals Limited Canada,483,04/03/2024,https://www.fda.gov/media/177488/download,281584
10/25/2023,3002815949,Stokes Healthcare Inc. dba Epicur Pharma,483,03/22/2024,https://www.fda.gov/media/177221/download,281586
11/15/2023,3005949964,"Catalent Indiana, LLC",483,03/22/2024,https://www.fda.gov/media/177229/download,281587
06/07/2021,3012937475,"Front Door Pharmacy, LLC dba Pure Pharmacy (Pure Pharmaceuticals)",483,03/22/2024,https://www.fda.gov/media/177225/download,281585
05/26/2023,3009925820,Medi-Fare Drug,483,03/21/2024,https://www.fda.gov/media/177153/download,281588
07/14/2023,3025984445,Sentara Enterprises,483,03/20/2024,https://www.fda.gov/media/177155/download,281589
02/29/2024,3011905047,Eugia SEZ Private Limited,483,03/15/2024,https://www.fda.gov/media/177078/download,281590
09/08/2021,1000076625,Boothwyn Pharmacy LLC,483,02/29/2024,https://www.fda.gov/media/176469/download,281591
02/02/2024,3008461619,Eugia Pharma Specialities Limited,483,02/13/2024,https://www.fda.gov/media/176315/download,281592
11/17/2023,3003434972,"Wedgewood Connect, LLC",483,02/12/2024,https://www.fda.gov/media/176195/download,281594
12/01/2023,3021758709,Empower Clinic Services LCC dba Empower Pharmacy,483,02/12/2024,https://www.fda.gov/media/176194/download,281593
09/08/2023,3011139911,"Sichuan Deebio Pharmaceutical Co., Ltd.",483,02/08/2024,https://www.fda.gov/media/176079/download,281595
02/10/2023,3000209996,"AGC Biologics, Inc.",483,01/31/2024,https://www.fda.gov/media/175834/download,281596
01/19/2024,3013702557,Alvotech HF,483,01/31/2024,https://www.fda.gov/media/175832/download,281597
01/27/2023,3004610460,Baxter Pharmaceuticals India Pvt Ltd,483,01/30/2024,https://www.fda.gov/media/175813/download,281599
12/22/2023,3015534630,Eugia US Manufacturing LLC,483,01/30/2024,https://www.fda.gov/media/175809/download,281598
08/25/2023,3004378804,Central Admixture Pharmacy Services Inc,483,01/25/2024,https://www.fda.gov/media/175708/download,281603
09/22/2023,3005698544,"Precision Equine, LLC",483,01/25/2024,https://www.fda.gov/media/175706/download,281602
11/09/2023,3011319445,Hybrid Pharma LLC,483,01/25/2024,https://www.fda.gov/media/175704/download,281601
10/04/2023,3025336457,"STAQ Pharma of Ohio, LLC",483,01/25/2024,https://www.fda.gov/media/175707/download,281600
07/23/2015,,"Sina LLC, dba OncoMed (Onco 360)",483,01/17/2024,https://www.fda.gov/media/89973/download,281972
07/24/2015,,"Forest/Inwood Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/70886/download,281982
07/28/2015,,"Changzhou SPL Company,  Ltd",483,01/17/2024,https://www.fda.gov/media/70085/download,282238
06/06/2016,,Ballard Plaza Pharmacy 1 Inc.,483,01/17/2024,https://www.fda.gov/media/98554/download,282672
-,,ADMA Biologics Inc.,483,01/17/2024,https://www.fda.gov/media/116164/download,282394
-,,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/114365/download,282330
-,,Arnold Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/116510/download,282227
-,,Auro Pharmacies,483,01/17/2024,https://www.fda.gov/media/116178/download,282504
-,,"Central Admixture Pharmacy Services, Inc.",483,01/17/2024,https://www.fda.gov/media/116404/download,281788
-,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/115704/download,282331
-,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,01/17/2024,https://www.fda.gov/media/115712/download,282332
-,,"HomeChoice Partners, Inc.",483,01/17/2024,https://www.fda.gov/media/116171/download,282378
-,,Hunter Holmes McGuire Veterans Affairs Medical Center,483,01/17/2024,https://www.fda.gov/media/115657/download,281624
-,,"Inventive Infusion Solutions, LP",483,01/17/2024,https://www.fda.gov/media/116410/download,281655
-,,New Vitalis Pharmacy LLC dba New Vitalis Pharmacy,483,01/17/2024,https://www.fda.gov/media/116408/download,282262
-,,"People’s Custom Rx and Clinical Care, LLC",483,01/17/2024,https://www.fda.gov/media/115739/download,281748
-,,"Pharm D Solutions, LLC",483,01/17/2024,https://www.fda.gov/media/116405/download,281659
-,,Quinn Pharmacy dba Northland Discount Drug Inc.,483,01/17/2024,https://www.fda.gov/media/116506/download,282110
-,,"South Coast Specialty Compounding, Inc.",483,01/17/2024,https://www.fda.gov/media/116612/download,282505
-,,"South Coast Specialty Compounding, Inc.",483,01/17/2024,https://www.fda.gov/media/116957/download,282506
-,,Sparboe Farms Inc.,483,01/17/2024,https://www.fda.gov/media/116804/download,282486
-,,Sparboe Farms Inc.,483,01/17/2024,https://www.fda.gov/media/116912/download,282487
-,,"Westlab Pharmacy, Inc. dba Westlab Pharmacy",483,01/17/2024,https://www.fda.gov/media/116175/download,282395
07/11/2015,"Unico Holdings, Inc.","Unico Holdings, Inc.",483,01/17/2024,https://www.fda.gov/media/78770/download,282410
07/24/2015,112247,"Nestle USA, Inc.",483,01/17/2024,https://www.fda.gov/media/77129/download,281632
07/24/2015,265014,"McNeil Healthcare, LLC",483,01/17/2024,https://www.fda.gov/media/79823/download,282235
07/11/2015,1011574,"Greer Laboratories, Inc.",483,01/17/2024,https://www.fda.gov/media/87837/download,281930
07/23/2015,1019003,Baxter Healthcare Corporation,483,01/17/2024,https://www.fda.gov/media/78340/download,282116
12/14/2017,1019003,Baxter Healthcare Corporation,483,01/17/2024,https://www.fda.gov/media/109986/download,282122
07/17/2015,1019788,Blue Bell Creameries Inc L.P,483,01/17/2024,https://www.fda.gov/media/91865/download,282650
07/17/2015,1019788,Blue Bell Creameries Inc L.P,483,01/17/2024,https://www.fda.gov/media/92107/download,282651
07/10/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85847/download,281922
07/11/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/82036/download,281925
07/11/2015,1021343,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/82060/download,281928
07/10/2015,1021417,Bi-County Farm Bureau Coop Assn Inc,483,01/17/2024,https://www.fda.gov/media/77292/download,282265
07/10/2015,1021417,Bi-County Farm Bureau Coop Assn Inc,483,01/17/2024,https://www.fda.gov/media/77302/download,282263
03/31/2017,1022121,Dixie Dew Products Inc,483,01/17/2024,https://www.fda.gov/media/104259/download,282270
07/11/2015,1028739,"Delta Air Lines, Inc.",483,01/17/2024,https://www.fda.gov/media/80695/download,282385
07/11/2015,1031452,Invacare Corporation,483,01/17/2024,https://www.fda.gov/media/82054/download,282412
07/11/2015,1031630,Thermo Pac LLC,483,01/17/2024,https://www.fda.gov/media/82026/download,282386
07/24/2015,1032300,"Bausch and Lomb, Inc",483,01/17/2024,https://www.fda.gov/media/70087/download,281776
07/10/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74401/download,282382
07/10/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74437/download,282381
07/11/2015,1036857,Peanut Corporation Of America,483,01/17/2024,https://www.fda.gov/media/74389/download,282384
07/23/2015,1037746,"Wellness Pharmacy, Inc.",483,01/17/2024,https://www.fda.gov/media/90120/download,282652
07/11/2015,1047582,"NHS U.S., LLC",483,01/17/2024,https://www.fda.gov/media/70677/download,282415
07/10/2015,1048698,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85914/download,281927
07/10/2015,1048698,"Hospira, Inc.",483,01/17/2024,https://www.fda.gov/media/85917/download,281920
12/17/2015,1051570,Green Hills Health and Wellness Pharmacy Inc,483,01/17/2024,https://www.fda.gov/media/90276/download,281758
07/11/2016,1051570,Green Hills Health and Wellness Pharmacy Inc,483,01/17/2024,https://www.fda.gov/media/99366/download,281759
07/11/2015,1073003,The American National Red Cross,483,01/17/2024,https://www.fda.gov/media/78747/download,282267
07/02/2018,1110315,Viatris Inc.,483,01/17/2024,https://www.fda.gov/media/114553/download,281621
07/24/2015,1119912,"Johns  Hopk i ns,  Bayview  Medical  Center,  Human  Subjects  Conunittcc",483,01/17/2024,https://www.fda.gov/media/70735/download,282240
07/24/2015,1120913,Johns Hopkins University School of Medicine IRB,483,01/17/2024,https://www.fda.gov/media/70726/download,282239
07/11/2015,1121308,Integra LifeSciences Corporation,483,01/17/2024,https://www.fda.gov/media/81946/download,282023
08/12/2015,1122335,American Red Cross Biomedical Sevices Headquarters,483,01/17/2024,https://www.fda.gov/media/79336/download,282467
07/11/2015,1173010,American Red Cross Blood Services Virginia Region,483,01/17/2024,https://www.fda.gov/media/82810/download,281630
07/11/2015,1173011,American Natl. Red Cross-Greater Chesapeake & Potomac Region,483,01/17/2024,https://www.fda.gov/media/79351/download,282228
09/27/2018,1218996,"Magellan Diagnostics, Inc.",483,01/17/2024,https://www.fda.gov/media/106203/download,282223
05/15/2017,1219544,Boston Scientifc Corporation,483,01/17/2024,https://www.fda.gov/media/70654/download,282222
10/29/2015,1221426,"Boston Analytical, Inc.",483,01/17/2024,https://www.fda.gov/media/86652/download,282053
07/23/2015,1270482,Marlborough Hospital,483,01/17/2024,https://www.fda.gov/media/90621/download,282230
07/11/2015,1273014,American Red Cross Blood Services,483,01/17/2024,https://www.fda.gov/media/79383/download,282475
07/11/2015,1273014,American Red Cross Blood Services,483,01/17/2024,https://www.fda.gov/media/82832/download,282473
10/25/2016,1283713,The General Hospital Corporation,483,01/17/2024,https://www.fda.gov/media/100771/download,282219
05/22/2017,1318360,"Repro-Med Systems, Inc.",483,01/17/2024,https://www.fda.gov/media/105639/download,282004
10/25/2016,1371719,Rochester General Hospital,483,01/17/2024,https://www.fda.gov/media/100768/download,281996
07/11/2015,1419498,"Rising Pharma Holdings, Inc",483,01/17/2024,https://www.fda.gov/media/82460/download,282339
07/10/2015,1420913,"Morton Grove Pharmaceuticals, Inc.",483,01/17/2024,https://www.fda.gov/media/88720/download,282337
07/11/2015,1450114,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/82462/download,282344
07/11/2015,1450114,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/82476/download,282341
11/22/2016,1450114,Akorn Pharmaceuticals Inc.,483,01/17/2024,https://www.fda.gov/media/101132/download,282357
10/13/2017,1450114,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/108066/download,282366
10/13/2017,1450114,"Akorn, Inc.",483,01/17/2024,https://www.fda.gov/media/108230/download,282363
07/10/2015,1473043,American Red Cross Blood Services Heart of America Region,483,01/17/2024,https://www.fda.gov/media/79371/download,282334
07/11/2015,1473043,American Red Cross Blood Services Heart of America Region,483,01/17/2024,https://www.fda.gov/media/82874/download,282345
05/04/2018,1480280,Nutripack LLC,483,01/17/2024,https://www.fda.gov/media/103072/download,282370
07/11/2015,1519257,Ben Venue Laboratories Inc,483,01/17/2024,https://www.fda.gov/media/82039/download,281889
07/11/2015,1519257,Ben Venue Laboratories Inc,483,01/17/2024,https://www.fda.gov/media/82042/download,281890
07/10/2015,1520332,"Cooper Farms, Inc.",483,01/17/2024,https://www.fda.gov/media/83516/download,281884
03/02/2018,1525965,Philips Medical Systems (Cleveland) Inc,483,01/17/2024,https://www.fda.gov/media/111401/download,281917
07/11/2015,1526383,Trillium Farm Holdings LLC,483,01/17/2024,https://www.fda.gov/media/79772/download,281894
07/17/2015,1526383,Trillium Farm Holdings LLC,483,01/17/2024,https://www.fda.gov/media/79763/download,281897
09/30/2016,1530045,Crosbys Drugs Inc,483,01/17/2024,https://www.fda.gov/media/100419/download,281909
07/11/2015,1573019,The American National Red Cross,483,01/17/2024,https://www.fda.gov/media/82934/download,281892
07/23/2015,1621802,"OKC Allergy Supplies, Inc.",483,01/17/2024,https://www.fda.gov/media/87719/download,281876
07/10/2015,1628454,ICU Medical Inc,483,01/17/2024,https://www.fda.gov/media/85924/download,281656
07/23/2015,1640846,"Duran and Sons, LLC",483,01/17/2024,https://www.fda.gov/media/79536/download,282016
07/10/2015,1673040,American National Red Cross Blood Services SW Region,483,01/17/2024,https://www.fda.gov/media/82925/download,281871
07/17/2015,1682009,"Blue Bell Creameries, L.P.",483,01/17/2024,https://www.fda.gov/media/92059/download,281680
07/23/2015,1682009,"Blue Bell Creameries, L.P.",483,01/17/2024,https://www.fda.gov/media/92071/download,281692
07/10/2015,1713910,"Edwards Lifesciences, LLC",483,01/17/2024,https://www.fda.gov/media/88453/download,281645
